Time (s),Pressure (mmHg),On Target
3.56,70.00,True
8.56,70.00,False
9.21,75.00,True
12.21,75.00,False
12.68,80.00,True
15.68,80.00,False
16.11,85.00,True
19.11,85.00,False
19.59,90.00,True
22.59,90.00,False
23.18,95.00,True
26.18,95.00,False
26.73,100.00,True
29.73,100.00,False
30.28,105.00,True
33.28,105.00,False
33.85,110.00,True
36.85,110.00,False
37.40,115.00,True
40.40,115.00,False
40.92,120.00,True
43.92,120.00,False
44.31,125.00,True
47.32,125.00,False
47.82,130.00,True
50.82,130.00,False
