Time (s),Pressure (mmHg)
0.17,11.89
0.19,13.85
0.20,14.02
0.22,14.62
0.23,15.62
0.25,16.62
0.27,17.53
0.28,18.30
0.30,18.85
0.31,19.80
0.33,20.40
0.35,21.00
0.36,21.52
0.38,22.10
0.39,22.36
0.41,22.64
0.43,23.12
0.44,23.19
0.46,23.41
0.47,23.74
0.49,23.82
0.51,23.98
0.52,24.37
0.54,24.58
0.55,24.60
0.57,24.82
0.59,25.03
0.60,25.49
0.62,25.42
0.63,25.68
0.65,26.01
0.67,26.30
0.68,26.42
0.70,26.90
0.71,27.09
0.73,27.14
0.75,27.38
0.76,27.71
0.78,27.88
0.79,27.88
0.81,28.28
0.83,28.50
0.84,28.50
0.86,28.90
0.87,29.02
0.89,29.07
0.91,29.43
0.92,29.69
0.94,29.67
0.95,30.05
0.99,30.29
0.99,30.31
1.00,30.31
1.02,30.72
1.03,30.96
1.05,31.13
1.07,31.29
1.08,31.53
1.10,31.48
1.12,31.87
1.13,31.87
1.15,32.25
1.16,32.15
1.18,32.30
1.19,32.75
1.21,32.87
1.23,33.11
1.24,33.44
1.26,33.47
1.27,33.87
1.29,34.07
1.31,33.99
1.32,34.35
1.34,34.52
1.35,34.38
1.37,34.73
1.39,34.64
1.40,35.00
1.42,35.14
1.44,35.07
1.45,35.50
1.47,35.38
1.48,35.81
1.50,35.83
1.51,36.17
1.53,36.17
1.55,36.60
1.56,36.60
1.58,36.96
1.60,36.93
1.61,37.22
1.63,37.20
1.64,37.67
1.66,37.55
1.68,37.89
1.69,37.84
1.71,38.22
1.72,38.13
1.74,38.53
1.75,38.56
1.77,38.89
1.79,38.92
1.80,39.30
1.82,39.25
1.83,39.49
1.85,39.68
1.87,40.01
1.88,39.99
1.90,40.35
1.91,40.25
1.93,40.66
1.95,40.83
1.96,40.97
1.98,40.95
1.99,41.16
2.01,41.64
2.03,42.02
2.04,42.33
2.06,42.50
2.08,42.76
2.09,42.67
2.11,43.00
2.12,43.02
2.14,43.22
2.15,43.57
2.17,43.50
2.19,43.96
2.20,44.08
2.22,44.00
2.23,44.43
2.25,44.53
2.27,44.96
2.28,45.18
2.30,45.15
2.31,45.56
2.33,45.56
2.35,45.96
2.36,46.15
2.38,46.08
2.40,46.44
2.41,46.39
2.43,46.70
2.44,47.09
2.46,47.06
2.47,47.47
2.49,47.40
2.51,47.64
2.52,48.07
2.54,48.26
2.55,48.28
2.57,48.69
2.59,48.93
2.60,48.85
2.62,49.33
2.63,49.57
2.65,49.52
2.67,49.86
2.68,50.10
2.70,50.05
2.72,50.38
2.73,50.69
2.75,50.91
2.76,50.98
2.78,51.53
2.80,51.91
2.81,52.08
2.83,52.27
2.84,52.77
2.86,52.94
2.88,52.99
2.89,53.18
2.91,53.30
2.92,53.73
2.94,53.85
2.96,54.11
2.97,54.09
2.99,54.25
3.00,54.78
3.02,54.88
3.04,55.11
3.05,55.11
3.07,55.33
3.08,55.74
3.10,56.00
3.12,56.21
3.13,56.48
3.15,56.67
3.16,56.60
3.18,56.74
3.20,56.91
3.21,57.10
3.23,57.53
3.24,57.79
3.26,57.96
3.28,58.22
3.29,58.41
3.31,58.65
3.32,58.65
3.34,58.89
3.36,59.08
3.37,59.39
3.39,59.53
3.40,59.68
3.42,59.99
3.44,60.42
3.45,60.59
3.47,60.82
3.48,60.97
3.50,61.18
3.52,61.37
3.53,61.57
3.55,61.80
3.58,62.16
3.58,62.50
3.60,62.86
3.61,63.21
3.63,63.43
3.64,63.62
3.66,63.81
3.68,64.00
3.69,64.48
3.71,64.38
3.72,64.53
3.74,64.81
3.76,64.98
3.77,65.20
3.79,65.46
3.80,65.63
3.82,65.77
3.84,66.20
3.85,66.15
3.87,66.46
3.88,66.56
3.90,66.75
3.92,66.65
3.93,66.85
3.95,67.08
3.96,67.28
3.98,67.20
4.00,67.44
4.01,67.59
4.03,67.49
4.04,67.78
4.06,67.66
4.08,67.87
4.09,68.06
4.11,67.87
4.12,68.14
4.14,68.35
4.16,68.18
4.17,68.21
4.19,68.23
4.20,68.54
4.22,68.57
4.24,68.61
4.25,68.66
4.27,68.47
4.28,68.49
4.30,68.54
4.32,68.73
4.33,68.71
4.35,68.59
4.36,68.90
4.38,69.12
4.40,69.64
4.41,69.52
4.43,69.66
4.44,69.33
4.46,69.33
4.48,69.35
4.49,69.23
4.51,69.16
4.52,69.07
4.54,68.97
4.56,68.85
4.57,68.71
4.59,68.35
4.60,68.49
4.62,68.42
4.64,68.09
4.65,68.06
4.67,68.18
4.68,67.87
4.70,67.71
4.72,67.87
4.73,67.54
4.75,67.61
4.76,67.44
4.78,67.13
4.80,67.16
4.81,66.82
4.83,66.73
4.84,66.49
4.86,66.34
4.88,66.51
4.89,66.13
4.91,66.18
4.92,65.89
4.94,66.01
4.96,65.94
4.97,65.89
4.99,65.79
5.00,65.48
5.02,65.56
5.04,65.24
5.05,65.36
5.07,64.98
5.08,65.13
5.10,64.77
5.12,64.60
5.13,64.72
5.15,64.46
5.16,64.36
5.18,64.58
5.20,65.51
5.21,65.91
5.23,66.20
5.24,66.10
5.26,66.15
5.28,66.03
5.29,66.08
5.31,65.96
5.32,65.91
5.34,65.48
5.36,65.44
5.37,65.29
5.39,65.32
5.40,65.17
5.42,64.84
5.44,64.79
5.45,64.70
5.47,64.93
5.48,64.93
5.50,64.84
5.52,64.70
5.53,64.60
5.55,64.50
5.56,64.60
5.58,64.55
5.60,64.43
5.61,64.12
5.63,64.05
5.64,64.12
5.66,64.00
5.68,63.93
5.69,63.60
5.71,63.52
5.72,63.48
5.74,63.64
5.76,63.57
5.77,63.45
5.79,63.26
5.80,63.21
5.82,63.12
5.84,63.29
5.85,63.19
5.87,63.12
5.88,62.81
5.90,62.69
5.92,62.83
5.93,62.71
