Time (s),Pressure (mmHg),On Target
13.64,20.00,True
18.64,20.00,False
19.25,25.00,True
21.25,25.00,False
21.87,30.00,True
23.87,30.00,False
24.48,35.00,True
26.48,35.00,False
27.06,40.00,True
29.06,40.00,False
29.66,45.00,True
31.66,45.00,False
32.32,50.00,True
34.32,50.00,False
34.94,55.00,True
36.94,55.00,False
37.41,60.00,True
39.41,60.00,False
39.89,65.00,True
41.89,65.00,False
42.37,70.00,True
44.37,70.00,False
44.82,75.00,True
46.82,75.00,False
47.14,80.00,True
49.14,80.00,False
49.68,85.00,True
51.68,85.00,False
52.24,90.00,True
54.24,90.00,False
55.30,95.00,True
57.30,95.00,False
58.19,100.00,True
60.19,100.00,False
60.58,105.00,True
62.58,105.00,False
63.52,110.00,True
65.52,110.00,False
66.24,115.00,True
68.24,115.00,False
68.83,120.00,True
70.83,120.00,False
71.52,125.00,True
73.52,125.00,False
73.87,130.00,True
75.87,130.00,False
76.32,135.00,True
78.32,135.00,False
78.80,140.00,True
80.80,140.00,False
81.28,145.00,True
83.28,145.00,False
83.99,150.00,True
85.99,150.00,False
