Time (s),Pressure (mmHg)
0.16,0.93
0.18,0.48
0.19,0.43
0.21,-0.60
0.22,-1.41
0.24,-2.13
0.26,3.84
0.27,7.81
0.29,7.98
0.30,8.10
0.32,8.29
0.34,8.53
0.35,8.81
0.37,8.86
0.38,9.29
0.40,9.43
0.42,9.51
0.43,9.82
0.45,9.84
0.46,10.18
0.48,10.10
0.50,10.27
0.51,10.63
0.53,10.56
0.54,10.68
0.56,10.99
0.58,11.01
0.59,11.06
0.61,11.42
0.62,11.54
0.64,11.66
0.66,11.51
0.67,11.51
0.69,11.63
0.70,11.70
0.72,11.90
0.74,11.87
0.75,12.11
0.77,12.02
0.78,12.09
0.80,12.25
0.82,12.25
0.83,12.45
0.85,12.66
0.86,12.73
0.88,12.85
0.90,12.76
0.91,12.78
0.93,12.90
0.94,13.02
0.96,13.07
0.98,13.33
0.99,13.42
1.01,13.52
1.03,13.40
1.04,13.45
1.06,13.50
1.07,13.64
1.09,13.93
1.10,14.05
1.12,14.12
1.14,14.26
1.15,14.09
1.17,14.14
1.18,14.24
1.20,14.31
1.22,14.38
1.23,14.62
1.25,14.74
1.27,14.57
1.28,14.69
1.30,14.71
1.31,14.83
1.33,14.88
1.35,15.19
1.36,15.34
1.38,15.38
1.39,15.46
1.41,15.34
1.43,15.46
1.44,15.55
1.46,15.81
1.47,15.91
1.49,15.84
1.50,15.81
1.52,15.93
1.54,16.24
1.55,16.29
1.57,16.36
1.59,16.29
1.60,16.55
1.62,16.63
1.63,16.53
1.65,16.67
1.67,16.77
1.68,16.91
1.70,17.15
1.71,17.03
1.73,17.08
1.75,17.39
1.76,17.44
1.78,17.68
1.79,17.68
1.81,17.63
1.83,17.89
1.84,17.87
1.86,18.11
1.87,18.20
1.89,18.13
1.90,18.27
1.92,18.42
1.94,18.70
1.95,18.82
1.97,18.97
1.99,18.82
2.00,19.21
2.02,19.23
2.03,19.37
2.05,19.28
2.06,19.37
2.08,19.64
2.10,19.83
2.11,19.92
2.13,19.73
2.15,20.07
2.16,20.11
2.18,20.28
2.19,20.21
2.21,20.43
2.23,20.52
2.24,20.59
2.26,20.50
2.27,20.54
2.29,20.83
2.31,20.97
2.32,20.78
2.34,21.21
2.35,21.19
2.37,21.09
2.39,21.29
2.40,21.55
2.42,21.67
2.43,21.67
2.45,21.74
2.47,22.03
2.48,22.19
2.50,22.12
2.51,22.26
2.53,22.36
2.55,22.55
2.56,22.74
2.58,23.10
2.59,23.27
2.61,23.10
2.63,23.29
2.64,23.65
2.66,23.55
2.67,23.84
2.69,24.01
2.71,24.03
2.72,24.13
2.74,24.53
2.75,24.44
2.77,24.53
2.79,24.92
2.80,24.87
2.82,25.04
2.83,25.32
2.85,25.47
2.87,25.44
2.88,25.63
2.90,25.92
2.91,26.09
2.93,26.04
2.95,26.37
2.96,26.47
2.98,26.49
2.99,26.80
3.01,27.02
3.03,26.90
3.04,27.31
3.06,27.14
3.07,27.28
3.09,27.64
3.11,27.55
3.12,27.74
3.14,28.05
3.15,28.02
3.17,28.29
3.19,28.45
3.20,28.41
3.22,28.74
3.23,28.69
3.25,29.07
3.27,29.17
3.28,29.07
3.30,29.46
3.31,29.41
3.33,29.77
3.35,29.60
3.36,30.01
3.38,30.15
3.39,30.13
3.41,30.41
3.43,30.44
3.44,30.75
3.46,30.99
3.47,30.91
3.49,31.32
3.51,31.30
3.52,31.61
3.54,31.53
3.55,31.70
3.57,31.80
3.59,32.20
3.60,32.16
3.62,32.30
3.63,32.68
3.65,32.85
3.67,32.73
3.68,32.83
3.70,32.99
3.71,33.16
3.73,33.18
3.75,33.64
3.76,33.54
3.78,33.88
3.79,33.88
3.81,34.21
3.83,34.31
3.84,34.28
3.86,34.40
3.87,34.83
3.89,34.69
3.91,34.98
3.92,34.98
3.94,35.31
3.95,35.21
3.97,35.55
3.99,35.52
4.00,35.64
4.02,35.98
4.03,35.93
4.05,36.24
4.07,36.19
4.08,36.53
4.10,36.67
4.11,36.60
4.13,36.98
4.15,36.93
4.16,37.25
4.18,37.36
4.19,37.32
4.21,37.70
4.23,37.58
4.24,37.96
4.26,38.03
4.27,37.94
4.29,38.34
4.31,38.25
4.32,38.56
4.34,38.58
4.35,38.89
4.37,39.04
4.39,39.06
4.40,39.42
4.42,39.61
4.43,39.63
4.45,39.73
4.47,39.56
4.48,39.66
4.50,40.02
4.51,40.21
4.53,40.06
4.55,40.38
4.56,40.57
4.58,40.45
4.59,40.76
4.61,40.85
4.63,40.78
4.64,41.07
4.66,41.26
4.67,41.16
4.69,41.59
4.71,41.64
4.72,41.62
4.74,41.74
4.75,42.05
4.77,41.98
4.79,42.29
4.80,42.43
4.82,42.53
4.83,42.41
4.85,42.74
4.87,42.62
4.88,42.86
4.90,43.24
4.91,43.41
4.93,43.31
4.95,43.41
4.96,43.77
4.98,43.91
4.99,43.84
5.01,44.05
5.03,44.22
5.04,44.15
5.06,44.39
5.07,44.68
5.09,44.63
5.11,44.82
5.12,45.20
5.14,45.32
5.15,45.23
5.17,45.63
5.19,45.77
5.20,45.63
5.22,45.92
5.23,46.30
5.25,46.71
5.27,46.71
5.28,46.90
5.30,47.26
5.31,47.38
5.33,47.33
5.35,47.49
5.36,47.88
5.38,47.97
5.39,48.19
5.41,48.07
5.43,48.24
5.44,48.69
5.46,48.76
5.47,48.69
5.49,48.90
5.51,49.05
5.52,49.24
5.54,49.57
5.55,49.74
5.57,49.62
5.59,49.81
5.60,49.98
5.62,50.39
5.63,50.62
5.65,50.79
5.67,50.74
5.68,50.89
5.70,51.10
5.72,51.60
5.73,51.75
5.75,51.99
5.76,52.13
5.78,52.34
5.79,52.39
5.81,52.49
5.83,52.75
5.84,52.94
5.86,53.32
5.87,53.56
5.89,53.73
5.91,53.92
5.92,54.21
5.94,54.21
5.95,54.47
5.97,54.64
5.99,54.73
6.00,54.90
6.02,55.02
6.04,55.14
6.05,55.21
6.07,55.64
6.08,55.79
6.10,55.69
6.12,56.05
6.13,56.17
6.15,56.48
6.16,56.74
6.18,57.08
6.19,57.24
6.21,57.39
6.23,57.58
6.24,57.74
6.26,57.91
6.28,58.06
6.29,58.25
6.31,58.46
6.32,58.63
6.34,58.87
6.36,59.06
6.37,59.27
6.39,59.51
6.40,59.70
6.42,59.92
6.44,60.04
6.45,60.28
6.47,60.25
6.48,60.54
6.50,60.71
6.52,61.04
6.53,60.97
6.55,61.23
6.56,61.35
6.58,61.54
6.60,61.66
6.61,61.76
6.63,61.95
6.64,62.09
6.66,62.52
6.67,62.62
6.69,62.83
6.71,62.86
6.72,63.00
6.74,63.12
6.76,63.29
6.77,63.67
6.79,63.79
6.80,63.93
6.82,64.15
6.83,64.05
6.85,64.36
6.87,64.51
6.88,64.67
6.90,64.84
6.92,64.82
6.93,64.96
6.95,65.46
6.96,65.58
6.98,65.87
6.99,65.84
7.01,65.94
7.03,66.11
7.04,66.44
7.06,66.61
7.08,66.90
7.09,67.01
7.11,67.49
7.12,68.21
7.14,68.50
7.15,68.69
7.17,68.78
7.19,69.00
7.20,69.43
7.22,69.62
7.24,69.83
7.25,69.74
7.27,69.98
7.28,70.19
7.30,70.55
7.31,70.72
7.33,70.74
7.35,70.91
7.36,71.34
7.38,71.53
7.40,71.60
7.41,71.86
7.43,72.25
7.44,72.49
7.46,72.51
7.48,72.72
7.49,73.13
7.51,73.27
7.52,73.25
7.54,73.70
7.55,73.94
7.57,73.87
7.59,74.25
7.60,74.47
7.62,74.47
7.64,74.68
7.65,74.99
7.67,75.07
7.68,75.31
7.70,75.74
7.72,75.71
7.73,76.09
7.75,76.26
7.76,76.26
7.78,76.57
7.80,76.60
7.81,76.88
7.83,77.10
7.84,77.00
7.86,77.41
7.88,77.38
7.89,77.55
7.91,77.93
7.92,77.86
7.94,78.22
7.96,78.41
7.97,78.36
7.99,78.72
8.00,78.63
8.02,78.79
8.04,79.13
8.05,79.10
8.07,79.61
8.08,79.92
8.10,80.66
8.12,81.49
8.12,79.03
8.14,79.06
8.15,78.94
8.17,78.60
8.19,78.67
8.20,78.51
8.22,78.27
8.23,78.17
8.25,78.22
8.27,78.10
8.28,77.81
8.30,77.67
8.31,77.77
8.33,77.62
8.35,77.41
8.36,77.43
8.38,77.67
8.39,77.74
8.41,77.53
8.43,77.84
8.44,77.89
8.46,77.93
8.47,77.69
8.49,78.03
8.51,77.96
8.52,77.79
8.54,77.79
8.55,78.03
8.57,78.01
8.59,77.79
8.60,78.03
8.62,78.01
8.63,77.72
8.65,77.98
8.67,78.03
8.68,77.72
8.70,78.03
8.71,77.79
8.73,77.84
8.75,78.10
8.76,78.05
8.78,78.08
8.79,78.08
8.81,77.89
8.83,78.15
8.84,78.03
8.86,77.86
8.87,77.91
8.89,78.08
8.91,78.08
8.92,77.89
8.94,78.05
8.95,77.77
8.97,77.79
8.99,78.10
9.00,78.24
9.02,79.03
9.03,79.73
9.05,80.16
9.07,80.66
9.08,80.87
9.10,80.73
9.11,80.99
9.13,80.80
9.15,81.06
9.16,81.04
9.18,80.75
9.19,80.97
9.21,80.68
9.23,80.85
9.24,80.73
9.26,80.42
9.27,80.61
9.29,80.42
9.31,80.49
9.32,80.73
9.34,80.59
9.35,80.82
9.37,80.87
9.39,80.70
9.40,81.04
9.42,80.75
9.43,80.75
9.45,80.94
9.47,80.78
9.48,80.78
9.50,80.99
9.51,80.66
9.53,80.87
9.55,80.61
9.56,80.61
9.58,80.80
9.59,80.61
9.61,80.75
9.63,80.80
9.64,80.54
9.66,80.73
9.67,80.54
9.69,80.78
9.71,80.73
9.72,80.59
9.74,80.75
9.75,80.51
9.77,80.78
9.79,80.78
9.80,80.51
9.82,80.78
9.83,80.49
9.85,80.87
9.87,80.61
9.88,80.66
9.90,80.92
9.91,80.80
9.93,81.06
9.95,81.18
9.96,81.97
9.98,82.47
9.99,83.45
10.01,83.74
10.03,84.34
10.04,84.43
10.06,84.62
10.07,84.43
10.09,84.48
10.11,84.69
10.12,84.36
10.14,84.55
10.15,84.29
10.17,84.41
10.19,84.12
10.20,84.12
10.22,83.83
10.23,84.00
10.25,83.69
10.27,83.91
10.28,83.74
10.30,84.03
10.31,83.81
10.33,83.86
10.35,84.19
10.36,84.00
10.38,84.19
10.40,84.00
10.41,84.22
10.43,84.00
10.44,84.12
10.46,83.91
10.47,84.17
10.49,84.12
10.51,83.93
10.52,84.03
10.54,83.76
10.56,83.98
10.57,83.72
10.59,83.93
10.60,83.69
10.62,83.83
10.63,83.86
10.65,83.62
10.67,83.86
10.68,83.62
10.70,83.88
10.72,83.67
10.73,83.88
10.75,83.72
10.76,83.88
10.78,84.03
10.80,83.81
10.81,84.07
10.83,83.91
10.84,84.17
10.86,84.00
10.88,84.26
10.89,84.24
10.91,84.69
10.92,85.05
10.94,85.99
10.96,86.56
10.97,87.25
10.99,87.47
11.00,87.92
11.02,87.71
11.04,87.99
11.05,87.82
11.07,88.02
11.08,87.78
11.10,87.92
11.12,87.61
11.13,87.73
11.15,87.39
11.16,87.51
11.18,87.16
11.20,87.30
11.21,87.25
11.23,87.28
