Time (s),Pressure (mmHg)
0.18,6.17
0.19,6.41
0.21,6.62
0.22,6.81
0.24,6.76
0.26,6.74
0.27,6.81
0.29,6.86
0.30,6.74
0.32,6.96
0.34,6.81
0.35,6.96
0.37,7.00
0.38,6.96
0.40,7.12
0.42,6.98
0.43,7.24
0.45,7.36
0.46,7.36
0.48,7.34
0.50,7.53
0.51,7.60
0.53,7.60
0.54,7.50
0.56,7.53
0.58,7.77
0.59,7.84
0.61,7.70
0.62,7.79
0.64,8.01
0.66,8.08
0.67,7.96
0.69,8.01
0.70,8.22
0.72,8.32
0.74,8.13
0.75,8.22
0.77,8.56
0.78,8.53
0.80,8.58
0.82,8.37
0.83,8.63
0.85,8.72
0.86,8.58
0.88,8.77
0.90,8.80
0.91,8.82
0.93,8.68
0.94,8.91
0.96,8.99
0.98,8.91
0.99,8.89
1.01,9.18
1.02,9.20
1.04,8.99
1.06,9.20
1.07,9.20
1.09,9.20
1.10,9.11
1.12,9.34
1.14,9.39
1.15,9.25
1.17,9.23
1.18,9.39
1.20,9.32
1.22,9.27
1.23,9.51
1.25,9.68
1.26,9.51
1.28,9.49
1.30,9.70
1.31,9.75
1.33,9.66
1.34,9.85
1.36,9.89
1.38,9.77
1.39,10.01
1.41,10.09
1.42,9.85
1.44,10.01
1.46,10.16
1.47,10.25
1.49,10.16
1.50,10.32
1.52,10.42
1.54,10.44
1.55,10.32
1.57,10.37
1.58,10.63
1.60,10.47
1.62,10.52
1.63,10.83
1.65,10.85
1.67,10.68
1.68,10.73
1.70,11.04
1.71,10.87
1.73,10.99
1.75,11.23
1.76,11.09
1.78,11.14
1.79,11.18
1.81,11.42
1.83,11.52
1.84,11.42
1.86,11.42
1.87,11.69
1.89,11.81
1.91,11.78
1.92,11.61
1.94,11.93
1.95,12.00
1.97,11.85
1.99,12.09
2.00,12.19
2.02,12.26
2.03,12.14
2.05,12.33
2.07,12.47
2.08,12.24
2.10,12.36
2.11,12.62
2.13,12.69
2.15,12.52
2.16,12.62
2.18,12.90
2.19,13.00
2.21,12.90
2.23,13.14
2.24,13.29
2.26,13.36
2.27,13.17
2.29,13.45
2.31,13.55
2.32,13.36
2.34,13.48
2.35,13.67
2.37,13.81
2.39,13.69
2.40,13.76
2.42,14.05
2.43,14.08
2.45,13.96
2.47,14.08
2.48,14.34
2.50,14.46
2.51,14.31
2.53,14.43
2.55,14.41
2.56,14.70
2.58,14.62
2.59,14.74
2.61,14.82
2.63,15.08
2.64,15.20
2.66,15.05
2.67,15.32
2.69,15.46
2.71,15.53
2.72,15.44
2.74,15.44
2.75,15.60
2.77,15.89
2.79,15.99
2.80,15.82
2.82,16.11
2.83,16.27
2.85,16.32
2.87,16.20
2.88,16.35
2.90,16.39
2.91,16.70
2.93,16.80
2.95,16.75
2.96,16.73
2.98,16.85
2.99,17.21
3.01,17.28
3.03,17.44
3.04,17.49
3.06,17.49
3.07,17.54
3.09,17.59
3.11,17.87
3.12,17.99
3.14,18.04
3.15,18.09
3.17,18.40
3.19,18.54
3.20,18.71
3.22,18.85
3.23,18.66
3.25,18.78
3.27,18.97
3.28,19.26
3.30,19.40
3.31,19.38
3.33,19.36
3.35,19.62
3.36,19.93
3.38,20.02
3.39,20.19
3.41,20.31
3.43,20.45
3.44,20.36
3.46,20.53
3.47,20.69
3.49,21.00
3.51,21.17
3.52,21.31
3.54,21.46
3.55,21.63
3.57,21.55
3.59,21.74
3.60,21.84
3.62,22.06
3.63,22.41
3.65,22.53
3.67,22.70
3.68,22.82
3.70,22.96
3.71,22.96
3.73,23.08
3.75,23.27
3.76,23.46
3.78,23.70
3.79,23.85
3.81,23.99
3.83,24.37
3.84,24.52
3.86,24.66
