Time (s),Pressure (mmHg)
1.69,8.84
1.73,8.74
1.75,9.05
1.78,9.22
1.80,9.29
1.82,9.10
1.85,9.51
1.87,9.41
1.89,9.55
1.92,9.82
1.94,9.75
1.98,9.98
2.01,10.18
2.06,10.44
2.08,10.49
2.12,10.72
2.17,10.89
2.20,10.77
2.27,11.18
2.36,11.68
2.40,11.78
2.43,11.85
2.45,11.90
2.47,12.11
2.50,12.04
2.52,12.35
2.54,12.21
2.57,12.61
2.59,12.71
2.61,12.66
2.64,12.83
2.66,13.07
2.68,13.14
2.71,13.26
2.73,13.14
2.75,13.38
2.78,13.33
2.80,13.40
2.82,13.74
2.85,13.88
2.87,13.90
2.89,13.78
2.92,13.95
2.94,14.05
2.96,14.24
2.99,14.52
3.01,14.45
3.03,14.76
3.05,14.60
3.08,14.86
3.10,15.12
3.12,15.26
3.15,15.41
3.17,15.53
3.19,15.41
3.22,15.62
3.24,15.91
3.26,15.79
3.29,15.86
3.31,16.22
3.33,16.36
3.36,16.39
3.38,16.44
3.40,16.48
3.43,16.63
3.45,16.94
3.47,16.84
3.50,16.94
3.52,17.13
3.54,17.46
3.57,17.53
3.59,17.61
3.61,17.68
3.64,17.92
3.66,17.73
3.68,18.16
3.71,18.18
3.73,18.27
3.75,18.18
3.77,18.49
3.80,18.56
3.82,18.47
3.84,18.75
3.87,18.87
3.89,19.13
3.91,19.30
3.94,19.49
3.96,19.33
3.98,19.64
4.01,19.76
4.03,19.59
4.05,19.76
4.08,19.95
4.10,20.21
4.12,20.31
4.15,20.45
4.17,20.62
4.19,20.69
4.22,20.81
4.24,20.71
4.26,20.93
4.29,21.09
4.31,21.17
4.33,21.43
4.36,21.60
4.38,21.48
4.40,21.60
4.42,21.79
4.45,22.15
4.47,22.03
4.49,22.31
4.52,22.31
4.54,22.62
4.56,22.62
4.59,22.93
4.61,23.08
4.63,23.17
4.66,23.29
4.68,23.22
4.70,23.67
4.73,23.72
4.75,24.13
4.77,24.34
4.80,24.44
4.82,24.65
4.84,24.77
4.87,24.92
4.89,24.80
4.91,24.94
4.94,25.08
4.96,25.59
4.98,25.44
5.01,25.94
5.03,25.87
5.05,26.18
5.08,26.40
5.10,26.42
5.12,26.66
5.14,26.73
5.17,27.16
5.19,27.07
5.21,27.45
5.24,27.45
5.26,27.78
5.28,27.88
5.31,28.14
5.33,28.21
5.35,28.31
5.38,28.79
5.40,28.67
5.42,29.10
5.45,29.10
5.47,29.17
5.49,29.72
5.51,29.84
5.54,29.89
5.56,30.22
5.59,30.60
5.61,30.51
5.63,30.91
5.66,31.18
5.68,31.22
5.70,31.30
5.73,31.80
5.75,31.68
5.77,31.73
5.79,32.08
5.82,32.30
5.84,32.25
5.86,32.73
5.89,32.99
5.91,33.26
5.93,33.30
5.96,33.33
5.98,33.64
6.00,33.83
6.03,33.88
6.05,34.12
6.07,34.40
6.10,34.69
6.12,34.76
6.14,34.71
6.17,34.98
6.19,35.33
6.21,35.67
6.24,35.79
6.26,35.84
6.28,35.91
6.31,36.19
6.33,36.55
6.35,36.67
6.38,36.93
6.40,37.08
6.42,37.36
6.45,37.79
6.47,37.99
6.49,37.99
6.51,38.18
6.54,38.44
6.56,38.92
6.58,38.85
6.61,39.16
6.63,39.25
6.65,39.37
6.68,39.56
6.70,39.66
6.72,39.80
6.75,40.11
6.77,40.42
6.79,40.59
6.82,40.83
6.84,41.26
6.86,41.35
6.89,41.67
6.91,41.78
6.93,42.10
6.96,42.29
6.98,42.36
