Time (s),Pressure (mmHg)
0.68,7.05
0.70,8.15
0.73,8.24
0.75,8.03
0.77,8.27
0.80,8.17
0.82,8.17
0.84,8.03
0.87,7.86
0.89,7.81
0.91,7.72
0.94,7.81
0.96,7.81
0.98,7.64
1.01,7.79
1.03,7.86
1.05,7.88
1.08,7.72
1.10,7.98
1.12,8.08
1.15,8.03
1.17,8.10
1.19,8.34
1.22,8.43
1.24,8.31
1.26,8.39
1.29,8.65
1.31,8.79
1.33,8.62
1.35,8.94
1.38,9.13
1.40,9.20
1.42,9.29
1.45,9.08
1.47,9.22
1.49,9.53
1.52,9.75
1.54,9.80
1.56,9.63
1.59,9.80
1.61,10.11
1.63,10.01
1.66,10.23
1.68,10.44
1.70,10.39
1.73,10.44
1.75,10.77
1.77,10.66
1.80,10.85
1.82,11.04
1.84,11.04
1.87,11.21
1.89,11.37
1.91,11.32
1.94,11.68
1.96,11.73
1.98,11.63
2.00,11.99
2.03,12.09
2.05,12.21
2.07,12.23
2.10,12.21
2.12,12.47
2.14,12.38
2.17,12.47
2.19,12.59
2.21,12.90
2.24,13.04
2.26,12.93
2.28,13.00
2.31,13.19
2.33,13.21
2.35,13.36
2.38,13.74
2.40,13.62
2.42,13.88
2.45,13.81
2.47,14.07
2.49,13.98
2.52,14.07
2.54,14.38
2.56,14.57
2.59,14.69
2.61,14.81
2.63,14.67
2.66,14.76
2.68,15.08
2.70,14.98
2.72,15.27
2.75,15.43
2.77,15.43
2.79,15.31
2.82,15.67
2.84,15.77
2.86,15.67
2.89,16.06
2.91,16.27
2.93,16.03
2.96,16.27
2.98,16.51
3.00,16.39
3.03,16.60
3.05,16.87
3.07,17.06
3.10,16.89
3.12,17.03
3.14,17.35
3.17,17.27
3.19,17.54
3.21,17.39
3.24,17.54
3.26,17.78
3.28,17.87
3.31,18.01
3.33,17.89
3.35,18.16
3.37,18.13
3.40,18.32
3.42,18.32
3.44,18.54
3.47,18.66
3.49,18.68
3.51,18.56
3.54,18.66
3.56,18.73
3.58,18.95
3.61,19.18
3.63,19.04
3.65,19.30
3.68,19.45
3.70,19.40
3.72,19.71
3.75,19.71
3.77,19.83
3.79,20.05
3.82,20.31
3.84,20.28
3.86,20.59
3.89,20.76
3.91,20.79
3.93,20.67
3.96,20.86
3.98,21.14
4.00,21.17
4.03,21.50
4.05,21.43
4.07,21.72
4.09,21.62
4.12,21.98
4.14,21.84
4.16,22.27
4.19,22.43
4.21,22.55
4.23,22.43
4.26,22.65
4.28,22.70
4.30,23.06
4.33,23.25
4.35,23.29
4.37,23.63
4.40,23.53
4.42,23.96
4.44,23.99
4.47,24.08
4.49,24.37
4.51,24.44
4.54,24.58
4.56,25.11
4.58,25.11
4.61,25.47
4.63,25.47
4.65,25.56
4.68,25.85
4.70,25.92
4.72,26.42
4.74,26.40
4.77,26.78
4.79,26.95
4.81,26.88
4.84,27.28
4.86,27.45
4.88,27.52
4.91,27.95
4.93,27.91
4.95,28.03
4.98,28.53
5.00,28.72
5.02,28.57
5.05,29.03
5.07,29.32
5.09,29.20
5.12,29.70
5.14,29.86
5.16,30.01
5.19,30.03
5.21,30.44
5.23,30.46
5.26,30.56
5.28,30.84
5.30,31.18
5.33,31.42
5.35,31.54
5.37,31.70
5.40,31.97
5.42,32.21
5.44,32.76
5.46,32.88
5.49,32.99
5.51,33.14
5.53,33.21
5.56,33.47
5.58,33.59
5.60,33.90
5.63,34.19
5.65,34.43
5.67,34.50
5.70,34.86
5.72,34.79
5.74,34.91
5.77,35.19
5.79,35.55
5.81,35.69
5.84,35.89
5.86,36.29
5.88,36.22
5.91,36.75
5.93,36.96
5.95,37.03
5.98,37.32
6.00,37.65
6.02,37.75
6.05,37.75
6.07,37.84
6.09,38.16
6.11,38.30
6.14,38.32
6.16,38.82
6.18,38.94
6.21,39.28
6.23,39.45
6.25,39.56
6.28,40.11
6.30,40.35
6.32,40.71
6.35,40.62
6.37,40.90
6.39,41.26
6.42,41.48
6.44,41.62
6.46,41.76
6.49,41.83
6.51,41.95
6.53,42.22
6.56,42.86
6.58,43.05
6.60,43.24
6.63,43.41
6.65,43.51
6.67,43.87
6.70,44.20
6.72,44.49
6.74,44.53
6.77,45.11
6.79,45.23
6.81,45.37
6.83,45.56
6.86,45.68
6.88,46.23
6.90,46.16
6.93,46.73
6.95,46.90
6.97,47.09
7.00,47.09
7.02,47.50
7.04,47.54
7.07,47.98
7.09,48.09
7.11,48.43
7.14,48.72
7.16,49.29
7.18,49.55
7.21,49.72
7.23,50.13
7.25,50.20
7.28,50.72
7.30,50.65
7.32,50.77
7.35,51.03
7.37,51.18
7.39,51.51
7.42,51.73
7.44,52.32
7.46,52.32
7.48,52.73
7.51,52.92
7.53,53.26
7.55,53.45
7.58,53.73
7.60,53.85
7.62,54.16
7.65,54.47
7.67,54.62
7.69,54.55
7.72,55.02
7.74,55.05
7.76,55.36
7.79,55.86
7.81,55.81
7.83,56.27
7.86,56.50
7.88,56.74
7.90,56.72
7.93,56.98
7.95,57.41
7.97,57.70
8.00,58.56
8.02,58.94
8.04,59.06
8.07,59.44
8.09,59.78
8.11,59.73
8.14,60.11
8.16,60.38
8.18,60.73
8.20,60.92
8.23,61.16
8.25,61.00
8.27,61.40
8.30,61.74
8.32,61.90
8.34,62.33
8.37,62.64
8.39,62.60
8.41,62.98
8.44,63.12
8.46,63.46
8.48,63.77
8.51,63.86
8.53,64.15
8.55,64.08
8.58,64.58
8.60,64.46
8.62,64.87
8.65,65.23
8.67,65.37
8.69,65.73
8.72,65.80
8.74,66.13
8.76,66.06
8.79,66.49
8.81,66.44
8.83,66.92
